Date,Open,High,Low,Close,Adj Close,Volume
8/4/2013,105.120003,107.769997,105,106.720001,106.720001,1647464
8/5/2013,106.720001,107.5,105.110001,106.559998,106.559998,1424757
8/6/2013,106.559998,106.959999,105.220001,105.989998,105.989998,819975
8/7/2013,105.989998,106.650002,100.959999,103.050003,103.050003,2481342
8/8/2013,103.050003,105.790001,101.940002,102.800003,102.800003,1238426
8/9/2013,102.800003,103.900002,102.379997,103,103,411941
8/10/2013,103,105.190002,102.699997,105,105,853962
8/11/2013,105,108.120003,103.5,106.809998,106.809998,2131117
8/12/2013,106.809998,109.639999,104.5,109.599998,109.599998,2014623
8/13/2013,109.599998,115,108,112.559998,112.559998,5689765
8/14/2013,112.559998,113.32,108.779999,109.989998,109.989998,1759713
8/15/2013,109.989998,112.300003,108.209999,108.989998,108.989998,1484874
8/16/2013,108.989998,114,108.230003,112.75,112.75,1430522
8/17/2013,112.75,114.690002,112,113.379997,113.379997,1093513
8/18/2013,113.379997,123.75,111.769997,118.5,118.5,6273089
8/19/2013,118.5,123.010002,116.82,121.199997,121.199997,2926824
8/20/2013,121.199997,125,119.68,123.300003,123.300003,3760529
8/21/2013,123.300003,124.489998,120.540001,122,122,1695452
8/22/2013,122,122,118.440002,118.510002,118.510002,2324780
8/23/2013,118.510002,121.389999,118.019997,119.599998,119.599998,1068849
8/24/2013,119.599998,122.989998,119.139999,122.110001,122.110001,904128
8/25/2013,122.110001,122.970001,119.919998,120.07,120.07,1386290
8/26/2013,120.07,133,120,131.289993,131.289993,6882690
8/27/2013,131.289993,131.720001,128.020004,128.759995,128.759995,1627390
8/28/2013,128.759995,131.199997,128.179993,129.300003,129.300003,1059179
8/29/2013,129.300003,142.759995,128.559998,138.029999,138.029999,6269713
8/30/2013,138.029999,148.699997,135.889999,141,141,4452962
8/31/2013,141,147.289993,141,146.009995,146.009995,2035993
9/1/2013,146.009995,148.5,142.110001,144,144,1546327
9/2/2013,144,148.910004,142.199997,144,144,2461257
9/3/2013,144,145.800003,130.089996,132.509995,132.509995,3945752
9/4/2013,132.509995,137.970001,127.239998,130.199997,130.199997,3561373
9/5/2013,130.199997,134,121.900002,121.900002,121.900002,2435581
9/6/2013,121.900002,131.020004,121.25,128.990005,128.990005,1796862
