Month,100 metres,400 metres,10000 metres
1912-10,21.103,18.56,11.894
1912-11,21.103,18.56,11.894
1912-12,21.103,18.56,11.894
1913-01,21.103,18.56,11.894
1913-02,21.103,18.56,11.894
1913-03,21.103,18.56,11.894
1913-04,21.103,18.56,11.894
1913-05,21.103,18.56,11.894
1913-06,21.103,18.56,11.894
1913-07,21.103,18.56,11.894
1913-08,21.103,18.56,11.894
1913-09,21.103,18.56,11.894
1913-10,21.103,18.56,11.894
1913-11,21.103,18.56,11.894
1913-12,21.103,18.56,11.894
1914-01,21.103,18.56,11.894
1914-02,21.103,18.56,11.894
1914-03,21.103,18.56,11.894
1914-04,21.103,18.56,11.894
1914-05,21.103,18.56,11.894
1914-06,21.103,18.56,11.894
1914-07,21.103,18.56,11.894
1914-08,21.103,18.56,11.894
1914-09,21.103,18.56,11.894
1914-10,21.103,18.56,11.894
1914-11,21.103,18.56,11.894
1914-12,21.103,18.56,11.894
1915-01,21.103,18.56,11.894
1915-02,21.103,18.56,11.894
1915-03,21.103,18.56,11.894
1915-04,21.103,18.56,11.894
1915-05,21.103,18.56,11.894
1915-06,21.103,18.56,11.894
1915-07,21.103,18.56,11.894
1915-08,21.103,18.56,11.894
1915-09,21.103,18.56,11.894
1915-10,21.103,18.56,11.894
1915-11,21.103,18.56,11.894
1915-12,21.103,18.56,11.894
1916-01,21.103,18.56,11.894
1916-02,21.103,18.56,11.894
1916-03,21.103,18.56,11.894
1916-04,21.103,18.56,11.894
1916-05,21.103,18.56,11.894
1916-06,21.103,18.56,11.894
1916-07,21.103,18.56,11.894
1916-08,21.103,18.56,11.894
1916-09,21.103,18.56,11.894
1916-10,21.103,18.56,11.894
1916-11,21.103,18.56,11.894
1916-12,21.103,18.56,11.894
1917-01,21.103,18.56,11.894
1917-02,21.103,18.56,11.894
1917-03,21.103,18.56,11.894
1917-04,21.103,18.56,11.894
1917-05,21.103,18.56,11.894
1917-06,21.103,18.56,11.894
1917-07,21.103,18.56,11.894
1917-08,21.103,18.56,11.894
1917-09,21.103,18.56,11.894
1917-10,21.103,18.56,11.894
1917-11,21.103,18.56,11.894
1917-12,21.103,18.56,11.894
1918-01,21.103,18.56,11.894
1918-02,21.103,18.56,11.894
1918-03,21.103,18.56,11.894
1918-04,21.103,18.56,11.894
1918-05,21.103,18.56,11.894
1918-06,21.103,18.56,11.894
1918-07,21.103,18.56,11.894
1918-08,21.103,18.56,11.894
1918-09,21.103,18.56,11.894
1918-10,21.103,18.56,11.894
1918-11,21.103,18.56,11.894
1918-12,21.103,18.56,11.894
1919-01,21.103,18.56,11.894
1919-02,21.103,18.56,11.894
1919-03,21.103,18.56,11.894
1919-04,21.103,18.56,11.894
1919-05,21.103,18.56,11.894
1919-06,21.103,18.56,11.894
1919-07,21.103,18.56,11.894
1919-08,21.103,18.56,11.894
1919-09,21.103,18.56,11.894
1919-10,21.103,18.56,11.894
1919-11,21.103,18.56,11.894
1919-12,21.103,18.56,11.894
1920-01,21.103,18.56,11.894
1920-02,21.103,18.56,11.894
1920-03,21.103,18.56,11.894
1920-04,21.103,18.56,11.894
1920-05,21.103,18.56,11.894
1920-06,21.103,18.56,11.894
1920-07,21.103,18.56,11.894
1920-08,21.103,18.56,11.894
1920-09,21.103,18.56,11.894
1920-10,21.103,18.56,11.894
1920-11,21.103,18.56,11.894
1920-12,21.103,18.56,11.894
1921-01,21.103,18.56,11.894
1921-02,21.103,18.56,11.894
1921-03,21.103,18.56,11.894
1921-04,21.103,18.56,11.894
1921-05,21.103,18.56,11.894
1921-06,21.103,18.56,11.894
1921-07,21.103,18.56,11.894
1921-08,21.103,18.56,11.894
1921-09,21.103,18.56,11.894
1921-10,21.103,18.56,11.894
1921-11,21.103,18.56,11.894
1921-12,21.103,18.56,11.894
1922-01,21.103,18.56,11.894
1922-02,21.103,18.56,11.894
1922-03,21.103,18.56,11.894
1922-04,21.103,18.56,11.894
1922-05,21.103,18.56,11.894
1922-06,21.103,18.56,11.894
1922-07,21.103,18.56,11.894
1922-08,21.103,18.56,11.894
1922-09,21.103,18.56,11.894
1922-10,21.103,18.56,11.894
1922-11,21.103,18.56,11.894
1922-12,21.103,18.56,11.894
1923-01,21.103,18.56,11.894
1923-02,21.103,18.56,11.894
1923-03,21.103,18.56,11.894
1923-04,21.103,18.56,11.894
1923-05,21.103,18.56,11.894
1923-06,21.103,18.56,11.894
1923-07,21.103,18.56,11.894
1923-08,21.103,18.56,11.894
1923-09,21.103,18.56,11.894
1923-10,21.103,18.56,11.894
1923-11,21.103,18.56,11.894
1923-12,21.103,18.56,11.894
1924-01,21.103,18.56,11.894
